1153,1520,1421
1173,1503,1456
1211,1611,1494
1202,1616,1488
1191,1557,1461
1213,1599,1473
1257,1619,1520
1265,1565,1535
1251,1569,1520
1255,1610,1523
1292,1647,1570
1315,1718,1587
1327,1709,1600
1296,1648,1572
1333,1663,1613
1351,1742,1639
1328,1658,1602
1332,1651,1601
1385,1725,1659
1408,1731,1679
1386,1718,1662
1393,1732,1677
1408,1759,1700
1445,1813,1728
1435,1802,1712
1410,1744,1698
1453,1773,1738
1487,1808,1771
1441,1782,1711
1453,1738,1726
1489,1754,1781
1504,1825,1794
1487,1808,1770
1510,1743,1781
1562,1871,1837
1611,1808,1901
1593,1837,1855
1553,1792,1811
1587,1835,1842
1599,1872,1877
1555,1831,1822
1554,1840,1819
1600,1872,1877
1648,1872,1918
1635,1835,1917
1612,1872,1906
1616,1872,1893
1646,1878,1913
1671,1884,1936
1727,2018,1976
1712,1971,1969
1651,1904,1926
1654,1875,1908
1707,1899,1951
1755,2000,1999
1789,2026,2032
1776,1954,2376
1792,2001,2273
1856,2047,2112
1909,2069,2325
1855,2034,2746
1574,1763,4095
214,465,4095
0,0,3991
0,0,1817
0,112,1014
214,617,1527
759,898,1851
1003,1035,1902
1105,1162,2271
1213,1291,1856
1218,1371,1606
1270,1456,1658
1402,1472,1923
1525,1577,1856
1597,1725,1744
1687,1819,1756
1751,1840,2078
1793,1891,1755
1866,2011,1731
1904,2065,1903
1966,2082,2351
1979,2064,1737
1993,2097,1568
2041,2159,1722
2101,2203,1840
2183,2303,1861
2245,2302,1840
2239,2347,1826
2245,2378,1827
2293,2467,1831
2366,2427,1833
2398,2451,1831
2425,2545,1830
2434,2559,1835
2450,2597,1829
2462,2624,1823
2541,2602,1871
2539,2640,1828
2487,2640,1770
2470,2643,1727
2505,2645,1733
2559,2670,1794
2593,2698,1795
2586,2734,1777
2663,2746,1825
2654,2725,1817
2608,2707,1779
2619,2746,1764
2704,2784,1818
2673,2755,1787
2615,2735,1714
2647,2743,1715
2693,2769,1772
2725,2802,1801
2734,2804,1792
2650,2747,1741
2694,2800,1788
2754,2818,1814
2689,2817,1764
2662,2855,1723
2686,2789,1759
2736,2833,1814
2707,2880,1775
2647,2883,1712
2661,2811,1719
2720,2863,1770
2790,2950,1793
2789,2960,1729
2669,2917,1709
2645,2963,1756
2705,3022,1798
2701,2995,1751
2703,3015,1727
2723,3056,1741
2722,3070,1744
2710,3042,1743
2624,3000,1653
2640,3021,1669
2688,3101,1779
2685,3071,1770
2697,3103,1755
2736,3175,1778
2713,3120,1730
2640,2931,1712
2639,2929,1701
2656,3008,1747
2707,3088,1766
2686,3071,1761
2611,2976,1707
2610,2991,1701
2655,3035,1760
2608,2971,1700
2622,2997,1694
2673,3044,1726
2640,3059,1791
2587,2999,1701
2608,2989,1697
2625,3008,1759
2618,2999,1810
2613,2967,1753
2599,2901,1675
2559,2908,1672
2595,2974,1765
2559,2935,1728
2559,2958,1731
2559,2910,1718
2559,2831,1774
2559,2826,1778
2617,2848,1744
2609,2851,1779
2535,2807,1764
2505,2766,1677
2485,2794,1743
2516,2799,1763
2600,2814,1783
2559,2768,1714
2547,2736,1763
2498,2719,1787
2527,2729,1792
2559,2717,1792
2519,2643,1738
2517,2657,1726
2533,2655,1824
2474,2618,1808
2508,2559,1735
2608,2624,1821
2598,2635,1899
2555,2623,1829
2524,2544,1777
2475,2507,1753
2478,2547,1832
2496,2503,1841
2498,2482,1834
2559,2533,1870
2493,2480,1808
2507,2418,1707
2510,2437,1718
2525,2478,1693
2630,2497,1584
2622,2449,1442
2467,2399,1600
2375,2411,1655
2394,2438,1574
2434,2434,1456
2485,2421,1437
2469,2446,1456
2421,2478,1466
2410,2499,1445
2451,2505,1469
2463,2519,1456
2421,2581,1469
2373,2541,1431
2325,2525,1341
2337,2592,1405
2384,2627,1485
2365,2586,1395
2363,2550,1245
2350,2647,1417
2329,2640,1441
2368,2597,1359
2320,2608,1357
2263,2627,1383
2207,2608,1296
2195,2599,1242
2203,2585,1915
2242,2589,1985
2182,2592,1871
2138,2524,1801
2153,2512,1808
2148,2544,1823
2170,2587,1834
2126,2512,1831
2043,2416,1824
2086,2461,1830
2111,2470,1829
2114,2487,1829
2112,2444,1827
2037,2352,1829
2042,2399,1826
2018,2403,1827
1981,2282,1828
1999,2255,1981
1975,2261,1809
1977,2253,1787
2005,2219,1818
1981,2215,1831
1950,2224,1835
1955,2199,1828
1926,2138,1828
1873,2117,1795
1882,2129,1824
1887,2103,1837
1930,2096,1810
1994,2099,1829
1885,2067,1807
1840,2043,1840
1887,2046,1799
1935,2064,1826
1933,2054,1878
1931,2029,1958
1937,2006,1909
1930,2009,1869
1946,2019,1911
1935,1984,1915
1911,1953,1909
1943,1982,1936
1957,2000,1910
1936,1965,1913
1951,1968,1905
1998,1986,1941
1978,1952,1891
1904,1920,1861
1913,1925,1897
1961,1941,1939
1970,1951,1946
1956,1921,1871
1978,1919,1904
1957,1913,1930
1952,1900,1892
1934,1853,1867
1937,1840,1831
1965,1856,1905
1952,1846,1870
1913,1808,1831
1904,1777,1813
1905,1776,1821
1891,1766,1829
1860,1722,1776
1847,1690,1771
1866,1693,1776
1858,1681,1760
1807,1634,1702
1801,1611,1702
1830,1609,1713
1808,1580,1727
1767,1519,1659
1741,1482,1677
1754,1486,1678
1744,1458,1672
1710,1406,1610
1697,1379,1555
1685,1364,1526
1666,1344,1571
1638,1290,1535
1631,1264,1532
1618,1257,1511
1613,1233,1472
1589,1184,1478
1581,1154,1446
1584,1147,1439
1566,1134,1441
1520,1090,1453
1524,1063,1393
1527,1059,1392
1515,1033,1394
1473,975,1339
1470,938,1316
1501,950,1318
1509,939,1389
1472,887,1310
